type,region,country,partner,program_name,award_date,expiration_date,fy14_contrib,notes,implementer,lat,long,city
Development,ANE,Bangladesh,ACDI,Program for Strengthening Household Access to Resources (PROSHAR),5/24/10,," $7,384,000 ",FFP anticipates awarding new programs in FY15,ACDI,22.816667,89.55,Khulna
Development,ANE,Bangladesh,ACDI,Program for Strengthening Household Access to Resources (PROSHAR),5/24/10,," $7,384,000 ",FFP anticipates awarding new programs in FY15,ACDI,23.1656982,89.4990219,Narail
Development,ANE,Bangladesh,ACDI,Program for Strengthening Household Access to Resources (PROSHAR),5/24/10,," $7,384,000 ",FFP anticipates awarding new programs in FY15,ACDI,22.6554516,89.7661527,"Bagerhat
"
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.753889,90.40305599999999,Mymensingh
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.9249785,89.9463408,Jamalpur
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.066667,91.39999999999999,Sunamganj
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,21.4394636,92.0077316,Cox's Bazaar
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.810346,89.6486979,Kurigram
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.941667,88.846667,Nilphamari
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.7438916,89.275227,Rangpur
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.6210504,88.64343079999999,Dinajpur
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.85,89.36666699999999,Bogra
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.4645469,89.69102230000001,Sirajganj
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.016667,89.216667,Pabna
Development,ANE,Bangladesh,Save the Children,Nobo Jibon,6/30/04,," $7,266,000 ",FFP anticipates awarding new programs in FY15,Save the Children,22.7,90.36666699999999,Barisal
Development,ANE,Bangladesh,Save the Children,Nobo Jibon,6/30/04,," $7,266,000 ",FFP anticipates awarding new programs in FY15,Save the Children,22.157885,90.11440789999999,Barguna
Development,ANE,Bangladesh,Save the Children,Nobo Jibon,6/30/04,," $7,266,000 ",FFP anticipates awarding new programs in FY15,Save the Children,22.3542954,90.3348372,Patuakhali
Development,WAS,Burkina Faso,ACDI,Victory Against Malnutrition (ViM),7/11/11,," $6,609,000 ",Includes $5 million in CDF each year,ACDI,13.4108,-1.0522,Barsalogho
Development,WAS,Burkina Faso,ACDI,Victory Against Malnutrition (ViM),7/11/11,," $6,609,000 ",Includes $5 million in CDF each year,ACDI,13.083333,-1.083333,Kaya
Development,WAS,Burkina Faso,ACDI,Victory Against Malnutrition (ViM),7/11/11,," $6,609,000 ",Includes $5 million in CDF each year,ACDI,13.1637,-0.81943,Pissila
Development,WAS,Burkina Faso,ACDI,Victory Against Malnutrition (ViM),7/11/11,," $6,609,000 ",Includes $5 million in CDF each year,ACDI,13.516667,-1.266667,Namissiguima
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,13.30912,-0.5237269999999999,Tougouri
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,13.613333,-0.65,Bouroum
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,,,Nagbingou
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,,,Yalgo
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,13.1768739,-0.1518394,Koalla
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,13.258333,-0.213056,Manni
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,13.07438,-0.320153,Thion
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,,,Bartiébougou
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,,,Foutouri
Development,WAS,Burkina Faso,CRS,Families Achieving Sustainable Outcomes (FASO),6/10/10,," $5,856,000 ",Includes $5 million in CDF each year,CRS,12.6513142,0.4915329000000001,"Gayeri

"
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.0524174,30.4818446,Kigamba
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.0618745,30.73499499999999,Mishiha
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.2196819,30.5466187,Cankuzo
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.1991342,30.77091249999999,Gisagara
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.286264,30.6020104,Cendajuru
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.866666999999999,30.25,Butezi
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.4750027,30.2483881,Ruyigi
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.3166669,30.46666699999999,Bweru
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.4583645,30.5005605,Gisuru
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,,,Butanganzwa
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.5392028,30.2757905,Nyabitsinda
Development,CSA,Burundi,CRS,Tubaramure (PM2A),8/4/08,, $-   ,FFP anticipates awarding new program in FY14,CRS,-3.660556,30.342222,Kinyinya
Development,CSA,Congo (DRC),ADRA,JENGA II,7/15/11,," $8,991,000 ",,ADRA,-2.420088,16.1816196,Minova
Development,CSA,Congo (DRC),ADRA,JENGA II,7/15/11,," $8,991,000 ",,ADRA,-2.420088,16.1816196,Kalehe
Development,CSA,Congo (DRC),ADRA,JENGA II,7/15/11,," $8,991,000 ",,ADRA,-4.3045353,15.2858236,Lemera
Development,CSA,Congo (DRC),ADRA,JENGA II,7/15/11,," $8,991,000 ",,ADRA,-2.420088,16.1816196,Ruzizi
Development,CSA,Congo (DRC),ADRA,JENGA II,7/15/11,," $8,991,000 ",,ADRA,-4.310105099999999,15.2755582,Uvira
Development,CSA,Congo (DRC),ADRA,JENGA II,7/15/11,," $8,991,000 ",,ADRA,-2.420088,16.1816196,Nundu
Development,CSA,Congo (DRC),ADRA,JENGA II,7/15/11,," $8,991,000 ",,ADRA,-2.420088,16.1816196,Fizi
Development,CSA,Congo (DRC),FHI,,7/15/11,," $10,445,000 ",,FHI,-2.420088,16.1816196,Walungu
Development,CSA,Congo (DRC),FHI,,7/15/11,," $10,445,000 ",,FHI,-2.420088,16.1816196,Mubumbano
Development,CSA,Congo (DRC),FHI,,7/15/11,," $10,445,000 ",,FHI,-2.420088,16.1816196,Nyemba
Development,CSA,Congo (DRC),FHI,,7/15/11,," $10,445,000 ",,FHI,-4.3034194,15.2945121,Kalemie
Development,CSA,Congo (DRC),FHI,,7/15/11,," $10,445,000 ",,FHI,-4.4071248,15.3957379,Moba
Development,CSA,Congo (DRC),FHI,,7/15/11,," $10,445,000 ",,FHI,-2.420088,16.1816196,Kasimba
Development,CSA,Congo (DRC),Mercy Corps,RISE,8/5/11,," $5,388,000 ",,Mercy Corps,-2.420088,16.1816196,Birambizo
Development,CSA,Congo (DRC),Mercy Corps,RISE,8/5/11,," $5,388,000 ",,Mercy Corps,-2.420088,16.1816196,Butembo
Development,CSA,Congo (DRC),Mercy Corps,RISE,8/5/11,," $5,388,000 ",,Mercy Corps,-2.420088,16.1816196,Beni
Development,EAH,Ethiopia,CRS,Development Food Aid Program (DFAP),8/15/11,," $15,011,000 ",,CRS,9.216667,42.333333,Babile
Development,EAH,Ethiopia,CRS,Development Food Aid Program (DFAP),8/15/11,," $15,011,000 ",,CRS,7.1549314,38.63873359999999,Kersa
Development,EAH,Ethiopia,CRS,Development Food Aid Program (DFAP),8/15/11,," $15,011,000 ",,CRS,9.35,41.516667,Meta
Development,EAH,Ethiopia,CRS,Development Food Aid Program (DFAP),8/15/11,," $15,011,000 ",,CRS,,,Goro Gutu
Development,EAH,Ethiopia,CRS,Development Food Aid Program (DFAP),8/15/11,," $15,011,000 ",,CRS,,,Melka Bello
Development,EAH,Ethiopia,CRS,Development Food Aid Program (DFAP),8/15/11,," $15,011,000 ",,CRS,9.321887199999999,41.4462559,Deder
Development,EAH,Ethiopia,FHI,Productive Safety Net Program (PSNP),8/16/11,," $25,330,000 ",,FHI,,,Lay Gayint
Development,EAH,Ethiopia,FHI,Productive Safety Net Program (PSNP),8/16/11,," $25,330,000 ",,FHI,,,Tach Gayint
Development,EAH,Ethiopia,FHI,Productive Safety Net Program (PSNP),8/16/11,," $25,330,000 ",,FHI,,,Simada
Development,EAH,Ethiopia,FHI,Productive Safety Net Program (PSNP),8/16/11,," $25,330,000 ",,FHI,,,Bugna
Development,EAH,Ethiopia,FHI,Productive Safety Net Program (PSNP),8/16/11,," $25,330,000 ",,FHI,,,Lasta
Development,EAH,Ethiopia,FHI,Productive Safety Net Program (PSNP),8/16/11,," $25,330,000 ",,FHI,,,Wadla
Development,EAH,Ethiopia,FHI,Productive Safety Net Program (PSNP),8/16/11,," $25,330,000 ",,FHI,9.966667,39.683333,Dehana
Development,EAH,Ethiopia,FHI,Productive Safety Net Program (PSNP),8/16/11,," $25,330,000 ",,FHI,,,Gaz-Gibla
Development,EAH,Ethiopia,FHI,Productive Safety Net Program (PSNP),8/16/11,," $25,330,000 ",,FHI,12.633333,39.033333,Sekota
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Ahferom
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Werie Leke
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Mereb Leke
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Kolla Tembien
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Tanqua Abergelle
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Kilte Awlealo
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Ganta Afeshum
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Gulo Mekeda
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,13.983333,39.433333,Hawzien
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Degua Tembien
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Samre Seharti
Development,EAH,Ethiopia,REST,Tigray Productive Safeyty Net Program (TPSNP),8/16/11,," $36,519,000 ",,REST,,,Raya Azebo
Development,EAH,Ethiopia,Save the Children,Transformation to Food Security Development Food Aid Program (T2FS DFAP),9/30/11,," $17,760,000 ",,Save the Children,,,Dolo Ado
Development,EAH,Ethiopia,Save the Children,Transformation to Food Security Development Food Aid Program (T2FS DFAP),9/30/11,," $17,760,000 ",,Save the Children,,,Dolo Bay
Development,EAH,Ethiopia,Save the Children,Transformation to Food Security Development Food Aid Program (T2FS DFAP),9/30/11,," $17,760,000 ",,Save the Children,14.77,39.8675,Barre
Development,EAH,Ethiopia,Save the Children,Transformation to Food Security Development Food Aid Program (T2FS DFAP),9/30/11,," $17,760,000 ",,Save the Children,3.4833333,39.1833333,Yabello
Development,EAH,Ethiopia,Save the Children,Transformation to Food Security Development Food Aid Program (T2FS DFAP),9/30/11,," $17,760,000 ",,Save the Children,4.2223581,38.7219894,Dhas
Development,EAH,Ethiopia,Save the Children,Transformation to Food Security Development Food Aid Program (T2FS DFAP),9/30/11,," $17,760,000 ",,Save the Children,,,Dugda Dawa
Development,EAH,Ethiopia,Save the Children,Transformation to Food Security Development Food Aid Program (T2FS DFAP),9/30/11,," $17,760,000 ",,Save the Children,4.7259125,38.7629949,Arero
Development,LAC,Guatemala,CRS,"Seguridad Alimentaria Enfocada en los Primeros 1,000 Días (SEGAMIL)",8/1/12,," $6,276,200 ",Includes $5 million in CDF each year,CRS,15.0914189,-91.7477976,Comitancillo
Development,LAC,Guatemala,CRS,"Seguridad Alimentaria Enfocada en los Primeros 1,000 Días (SEGAMIL)",8/1/12,," $6,276,200 ",Includes $5 million in CDF each year,CRS,15.0301602,-91.7356319,San Lorenzo
Development,LAC,Guatemala,CRS,"Seguridad Alimentaria Enfocada en los Primeros 1,000 Días (SEGAMIL)",8/1/12,," $6,276,200 ",Includes $5 million in CDF each year,CRS,15.239019,-91.8434162,Concepción Tutuapa
Development,LAC,Guatemala,CRS,"Seguridad Alimentaria Enfocada en los Primeros 1,000 Días (SEGAMIL)",8/1/12,," $6,276,200 ",Includes $5 million in CDF each year,CRS,15.783471,-90.23075899999999, San José Ojetenam
Development,LAC,Guatemala,CRS,"Seguridad Alimentaria Enfocada en los Primeros 1,000 Días (SEGAMIL)",8/1/12,," $6,276,200 ",Includes $5 million in CDF each year,CRS,15.1291103,-91.23677169999999,Santa Lucia La Reforma
Development,LAC,Guatemala,CRS,"Seguridad Alimentaria Enfocada en los Primeros 1,000 Días (SEGAMIL)",8/1/12,," $6,276,200 ",Includes $5 million in CDF each year,CRS,15.029167,-91.329444,Santa Maria Chiquimula
Development,LAC,Guatemala,CRS,"Seguridad Alimentaria Enfocada en los Primeros 1,000 Días (SEGAMIL)",8/1/12,," $6,276,200 ",Includes $5 million in CDF each year,CRS,15.044444,-91.408333,Momostenango
Development,LAC,Guatemala,CRS,"Seguridad Alimentaria Enfocada en los Primeros 1,000 Días (SEGAMIL)",8/1/12,," $6,276,200 ",Includes $5 million in CDF each year,CRS,14.910833,-91.360556,Totonicapán 
Development,LAC,Guatemala,Mercy Corps,Programa Comunitario Materno Infantil de Diversificación Alimentaria (PROCOMIDA),7/1/09,," $2,159,300 ",NCE into 2015,Mercy Corps,15.483333,-90.36666699999999,Cobán
Development,LAC,Guatemala,Mercy Corps,Programa Comunitario Materno Infantil de Diversificación Alimentaria (PROCOMIDA),7/1/09,," $2,159,300 ",NCE into 2015,Mercy Corps,15.4511363,-90.3196979,Carcha
Development,LAC,Guatemala,Mercy Corps,Programa Comunitario Materno Infantil de Diversificación Alimentaria (PROCOMIDA),7/1/09,," $2,159,300 ",NCE into 2015,Mercy Corps,15.607452,-89.8118642,Cahabón
Development,LAC,Guatemala,Mercy Corps,Programa Comunitario Materno Infantil de Diversificación Alimentaria (PROCOMIDA),7/1/09,," $2,159,300 ",NCE into 2015,Mercy Corps,15.5752827,-89.9801782,Lanquín
Development,LAC,Guatemala,Mercy Corps,Programa Comunitario Materno Infantil de Diversificación Alimentaria (PROCOMIDA),7/1/09,," $2,159,300 ",NCE into 2015,Mercy Corps,15.416389,-89.820278,Senahú
Development,LAC,Guatemala,Save the Children,Integrated Food Security Actions in the Western Highlands (PAISANO),8/1/12,," $6,600,100 ",Includes $5 million in CDF each year,Save the Children,15.408333,-91.147222,Nebaj
